timestamp,pair,mode,family,family_name,score,url,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_crsi_period,param_crsi_entry,param_crsi_entry_short,param_trend_ema_period,param_exit_sma_period,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,train_score,validation_score
2026-03-14T20:39:33,BTCUSDT,train,3,Connors RSI (2-Period),0.0,https://www.quantconnect.com/project/28937164/a9dc36e65d1e06b6d5138a2a29546023,10,1.0,2.0,72,1,0.15,3,5,90,100,8,0.0,0.0,80.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:40:40,BTCUSDT,train,3,Connors RSI (2-Period),0.0,https://www.quantconnect.com/project/28937164/fa11d6dffa01edbd4d3ddf4ee16d94bb,20,3.0,2.0,48,10,0.15,5,10,80,100,3,0.0,0.0,17.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:10:51,BTCUSDT,train,3,Connors RSI (2-Period),-8.3,https://www.quantconnect.com/project/28937164/d5d0f6634e427e32b7a15363a59a7e57,10,3.0,2.0,48,1,0.25,5,20,80,100,8,0.0,0.0,416.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:34:01,BTCUSDT,train,3,Connors RSI (2-Period),-8.3,https://www.quantconnect.com/project/28937164/4e804ad49b6b0abd23fd5f22ec67c5bb,20,3.0,2.0,48,1,0.15,5,20,80,100,8,0.0,0.0,416.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:46:24,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,20,3.0,2.0,48,10,0.15,3,10,80,100,8,,,,,,,,,,,,,,
2026-03-14T20:46:25,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,20,3.0,2.0,48,1,0.35,5,5,80,100,8,,,,,,,,,,,,,,
2026-03-14T20:47:38,BTCUSDT,train,3,Connors RSI (2-Period),-136.55,https://www.quantconnect.com/project/28937164/f6d7f68322bd45ea6558b500b772f60f,10,3.0,2.0,48,1,0.15,3,20,90,100,8,0.0,0.0,2981.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:48:09,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,3.0,2.0,48,10,0.25,5,10,80,100,3,,,,,,,,,,,,,,
2026-03-14T20:49:01,BTCUSDT,train,3,Connors RSI (2-Period),-8.3,https://www.quantconnect.com/project/28937164/2778edb0ec97aeff59d13a13a5393a59,10,3.0,2.0,48,1,0.15,5,20,80,100,8,0.0,0.0,416.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:49:24,BTCUSDT,train,3,Connors RSI (2-Period),0.0,https://www.quantconnect.com/project/28937164/0aa1022c7a0093a18922fdec0d3de15d,10,3.0,2.0,72,10,0.25,3,5,80,100,8,0.0,0.0,80.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:50:47,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,20,3.0,2.0,48,1,0.25,5,10,80,100,8,,,,,,,,,,,,,,
