timestamp,pair,mode,family,family_name,score,url,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_ema_fast_period,param_ema_slow_period,param_adx_period,param_adx_min,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,train_score,validation_score
2026-03-14T21:40:18,BTCUSDT,train,4,EMA Trend + ADX,-1000000000,,20,2.5,2.0,48,4,0.15,25,50,20,30,,,,,,,,,,,,,,
2026-03-14T21:40:18,BTCUSDT,train,4,EMA Trend + ADX,-1000000000,,20,2.0,2.5,72,1,0.15,25,40,20,35,,,,,,,,,,,,,,
2026-03-14T21:42:03,BTCUSDT,train,4,EMA Trend + ADX,-1000000000,,20,1.0,1.5,20,10,0.15,25,60,20,25,,,,,,,,,,,,,,
2026-03-14T21:42:02,BTCUSDT,train,4,EMA Trend + ADX,-1000000000,,20,2.5,1.5,72,10,0.15,25,50,20,25,,,,,,,,,,,,,,
2026-03-14T21:42:42,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/2923ea36b691475b30afd1565a5256ab,10,1.0,2.0,48,4,0.5,20,50,14,30,0.0,0.0,46.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:42:44,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/0131e698b615a81c605417895dad7f94,20,2.5,1.5,48,4,0.15,25,60,14,35,0.0,0.0,24.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:43:07,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/a9be4f5401ba9b564e4ac8976e82ae89,14,1.5,2.0,72,1,0.15,20,50,10,35,0.0,0.0,89.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:44:00,BTCUSDT,train,4,EMA Trend + ADX,-5.2,https://www.quantconnect.com/project/28937164/23c01afc030c7d05da5e7964f6a943ec,20,1.5,2.0,96,6,0.15,25,50,10,25,0.0,0.0,354.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:44:54,BTCUSDT,train,4,EMA Trend + ADX,-1000000000,,10,1.0,1.0,96,1,0.15,20,50,14,35,,,,,,,,,,,,,,
2026-03-14T21:45:45,BTCUSDT,train,4,EMA Trend + ADX,-1000000000,,20,2.5,1.5,20,2,0.5,25,40,10,25,,,,,,,,,,,,,,
2026-03-14T21:47:29,BTCUSDT,validation,4,EMA Trend + ADX,-1000000000,,20,1.0,1.5,20,6,0.15,25,60,20,25,,,,,,,,,,,,,0.0,
2026-03-14T21:48:30,BTCUSDT,validation,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/c0a79555e47b5aabbe22a96a842ad908,14,1.0,2.5,48,4,0.5,20,60,14,30,0.0,0.0,23.0,0.0,0.0,10000.0,10000.0,0.0,,,,,0.0,
2026-03-14T21:48:47,BTCUSDT,validation,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/7a6c5fa030861abb4cf7e2d7e20ecec0,20,2.5,1.5,72,10,0.15,25,60,20,30,0.0,0.0,8.0,0.0,0.0,10000.0,10000.0,0.0,,,,,0.0,
2026-03-14T21:50:32,BTCUSDT,validation,4,EMA Trend + ADX,-1000000000,,10,1.5,2.0,48,4,0.5,10,50,10,30,,,,,,,,,,,,,0.0,
2026-03-14T21:52:19,BTCUSDT,validation,4,EMA Trend + ADX,-1000000000,,14,2.0,1.0,72,1,0.15,20,40,14,35,,,,,,,,,,,,,0.0,
2026-03-14T21:54:06,BTCUSDT,validation,4,EMA Trend + ADX,-1000000000,,20,3.0,2.0,30,4,0.35,20,50,14,30,,,,,,,,,,,,,0.0,
2026-03-14T21:55:53,BTCUSDT,test,4,EMA Trend + ADX,-1000000000,,14,1.0,2.5,48,4,0.5,20,60,14,30,,,,,,,,,,,,,0.0,0.0
2026-03-14T21:56:57,BTCUSDT,test,4,EMA Trend + ADX,-1000000000,https://www.quantconnect.com/project/28937164/8e4b0bbde9fcc294dd10c4a75aaa6e7d,20,2.5,1.5,72,10,0.15,25,60,20,30,0.0,0.0,4.0,0.0,0.0,10000.0,10000.0,0.0,,,,,0.0,0.0
