timestamp,pair,mode,family,family_name,score,url,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_bb_period,param_bb_std_dev,param_bb_rsi_long,param_bb_rsi_short,param_rsi_period,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,train_score,validation_score
2026-03-14T19:15:18,BTCUSDT,train,2,Bollinger Band Mean Reversion,-13.5,https://www.quantconnect.com/project/28937164/79352603c77a8b3aea9b2786516a93a8,10,2.0,2.0,20,1,0.35,30,2.0,25,75,20,0.0,0.0,520.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:14:13,BTCUSDT,train,2,Bollinger Band Mean Reversion,-13.600000000000001,https://www.quantconnect.com/project/28937164/70024efd7835b776a388e83a0c7aa29d,20,3.0,2.0,72,2,0.35,20,2.5,25,75,14,0.0,0.0,522.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:22:26,BTCUSDT,train,2,Bollinger Band Mean Reversion,-13.600000000000001,https://www.quantconnect.com/project/28937164/292f277299126c7a7a04fb09986a8e20,14,2.5,1.0,72,2,0.35,20,2.5,25,75,14,0.0,0.0,522.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:24:32,BTCUSDT,train,2,Bollinger Band Mean Reversion,-20.200000000000003,https://www.quantconnect.com/project/28937164/1d15a9330fe46735f3fc58f4036c56cf,20,2.5,2.0,72,2,0.15,25,2.5,25,75,14,0.0,0.0,654.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:26:16,BTCUSDT,train,2,Bollinger Band Mean Reversion,-1000000000,,10,2.5,2.0,72,1,0.35,15,2.5,25,75,14,,,,,,,,,,,,,,
2026-03-14T19:26:39,BTCUSDT,train,2,Bollinger Band Mean Reversion,-2.35,https://www.quantconnect.com/project/28937164/18e9e97c74f5c2ef8fe86dec96449819,10,2.0,2.0,72,1,0.35,30,2.5,25,75,20,0.0,0.0,297.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:27:05,BTCUSDT,train,2,Bollinger Band Mean Reversion,-13.600000000000001,https://www.quantconnect.com/project/28937164/cd0e1c72445ef078c99abd47154d414d,20,3.0,1.0,72,2,0.35,20,2.5,25,75,14,0.0,0.0,522.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:28:04,BTCUSDT,train,2,Bollinger Band Mean Reversion,-9.75,https://www.quantconnect.com/project/28937164/edc013e07aed127068c9357466de437b,20,2.0,2.0,20,1,0.35,25,2.0,25,75,20,0.0,0.0,445.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:29:48,BTCUSDT,train,2,Bollinger Band Mean Reversion,-1000000000,,10,2.0,2.0,72,2,0.35,20,2.5,25,75,20,,,,,,,,,,,,,,
2026-03-14T19:30:15,BTCUSDT,train,2,Bollinger Band Mean Reversion,-13.600000000000001,https://www.quantconnect.com/project/28937164/1cd03d201a826f895a689fd5660d4e2b,14,2.0,1.0,72,2,0.35,20,2.5,25,75,14,0.0,0.0,522.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:32:01,BTCUSDT,train,2,Bollinger Band Mean Reversion,-1000000000,,20,2.5,2.0,72,1,0.25,25,2.0,25,75,20,,,,,,,,,,,,,,
2026-03-14T19:32:26,BTCUSDT,train,2,Bollinger Band Mean Reversion,-143.70000000000002,https://www.quantconnect.com/project/28937164/70145dc6f0546ff90cc5c2d91f004cba,20,2.0,1.5,30,6,0.35,20,1.5,30,65,14,0.0,0.0,3124.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:34:39,BTCUSDT,train,2,Bollinger Band Mean Reversion,-479.0,https://www.quantconnect.com/project/28937164/3215aa84ec0615144d0ee929c913c68e,14,1.5,1.0,20,1,0.5,30,1.5,35,75,10,0.0,0.0,9830.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:26:39,BTCUSDT,train,2,Bollinger Band Mean Reversion,-2.35,https://www.quantconnect.com/project/28937164/18e9e97c74f5c2ef8fe86dec96449819,10,2.0,2.0,72,1,0.35,30,2.5,25,75,20,0.0,0.0,297.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:15:43,BTCUSDT,train,2,Bollinger Band Mean Reversion,-7.3500000000000005,https://www.quantconnect.com/project/28937164/40cde7e59ca59cd1c6ee44467c1b7afb,10,2.5,1.0,72,2,0.35,15,2.5,25,70,14,0.0,0.0,397.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
