timestamp,pair,mode,family,family_name,score,url,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_bb_period,param_bb_std_dev,param_bb_rsi_long,param_bb_rsi_short,param_rsi_period,param_bar_minutes,param_htf_minutes,param_htf_ema_period,param_vol_filter_enabled,param_use_force_flat,train_score,validation_score
2026-03-18T13:50:46,USDJPY,train,2,Bollinger Band Bounce,-33.906000000000006,https://www.quantconnect.com/project/28930245/1f7afd3ea199c68d46e780ee685bcfde,-12.464,15.1,2097.0,-1.064,42.0,10000.0,8753.59,612.0,279.0,72.0,31.0,230.0,10,3.0,2.0,30,8,0.25,30,2.0,25,75,10,5,60,50,0,1,,
2026-03-18T13:51:15,USDJPY,train,2,Bollinger Band Bounce,-22.222,https://www.quantconnect.com/project/28930245/3a1699f6a24332d1fbffe70acd424ed4,-12.594,15.6,985.0,-1.626,45.0,10000.0,8740.56,327.0,181.0,142.0,,4.0,10,1.5,1.0,30,12,0.25,30,2.5,25,65,10,5,60,30,0,0,,
2026-03-18T13:52:05,USDJPY,train,2,Bollinger Band Bounce,-32.557,https://www.quantconnect.com/project/28930245/0f576bbe83fffb95494ef9fdf3ad1426,-17.835,19.1,902.0,-2.024,36.0,10000.0,8216.51,300.0,192.0,106.0,2.0,,10,1.5,1.25,96,12,0.25,25,2.5,30,75,10,5,60,20,0,1,,
2026-03-18T13:52:38,USDJPY,train,2,Bollinger Band Bounce,-25.523999999999997,https://www.quantconnect.com/project/28930245/63ea127400d9a9bbfdfa612198681a07,-15.5,16.4,898.0,-1.858,37.0,10000.0,8449.96,297.0,183.0,107.0,,7.0,10,1.5,1.25,30,12,0.25,25,2.5,30,75,10,5,240,30,0,0,,
2026-03-18T13:53:05,USDJPY,train,2,Bollinger Band Bounce,-5.515,https://www.quantconnect.com/project/28930245/278e27c901f83c06d1a42247a8b056ba,-1.231,2.4,369.0,-1.428,48.0,10000.0,9876.91,123.0,64.0,59.0,,,20,1.5,1.0,60,12,0.15,25,2.5,30,60,14,15,60,50,1,0,,
2026-03-18T13:53:46,USDJPY,train,2,Bollinger Band Bounce,-10.602,https://www.quantconnect.com/project/28930245/9c2876029e9f13e4fe073f036b8d8b60,-5.745,6.3,433.0,-1.619,40.0,10000.0,9425.52,129.0,64.0,19.0,,46.0,20,3.0,1.5,20,5,0.25,20,2.0,25,75,14,15,240,50,0,0,,
2026-03-18T13:48:43,USDJPY,train,2,Bollinger Band Bounce,-1.7830000000000001,https://www.quantconnect.com/project/28930245/b1ef5c77dccc2aacbc21e9f20637da9d,-0.28,4.6,394.0,-0.501,38.0,10000.0,9972.04,128.0,77.0,41.0,,10.0,20,1.5,2.0,30,5,0.25,25,2.0,25,75,10,5,60,30,1,0,,
2026-03-18T13:40:46,USDJPY,train,2,Bollinger Band Bounce,-5.436,https://www.quantconnect.com/project/28930245/7b23142bc87e3691c6661ceb05f10dac,-2.502,5.0,364.0,-0.978,39.0,10000.0,9749.77,117.0,68.0,36.0,,13.0,20,2.5,1.5,48,3,0.25,15,2.5,35,70,7,30,240,20,1,0,,
2026-03-18T13:53:05,USDJPY,train,2,Bollinger Band Bounce,-5.515,https://www.quantconnect.com/project/28930245/278e27c901f83c06d1a42247a8b056ba,-1.231,2.4,369.0,-1.428,48.0,10000.0,9876.91,123.0,64.0,59.0,,,20,1.5,1.0,60,12,0.15,25,2.5,30,60,14,15,60,50,1,0,,
2026-03-18T13:50:16,USDJPY,train,2,Bollinger Band Bounce,-7.568,https://www.quantconnect.com/project/28930245/20dc8d69eb5fec22f1cd4bb1fcf9e31d,-3.89,6.6,401.0,-1.226,44.0,10000.0,9611.01,133.0,74.0,57.0,,2.0,20,1.5,1.0,20,5,0.25,20,2.0,30,75,14,15,60,50,0,0,,
2026-03-18T13:46:10,USDJPY,train,2,Bollinger Band Bounce,-8.23,https://www.quantconnect.com/project/28930245/02f156a0eb59a2a463b2a59474a851ba,-3.199,3.4,362.0,-1.677,45.0,10000.0,9680.1,105.0,35.0,23.0,47.0,,10,3.0,1.0,30,12,0.25,30,2.0,30,65,14,30,60,50,0,1,,
2026-03-18T13:54:25,USDJPY,train,2,Bollinger Band Bounce,-9.855,https://www.quantconnect.com/project/28930245/d7b429870f45c34bfdfcb63a50acb578,-5.301,5.6,318.0,-1.518,43.0,10000.0,9469.92,106.0,60.0,46.0,,,20,1.5,1.0,30,5,0.25,25,2.0,25,75,14,5,60,50,0,0,,
2026-03-18T13:54:51,USDJPY,train,2,Bollinger Band Bounce,-9.878,https://www.quantconnect.com/project/28930245/44d69f82e849c48224ee5f56ea3d12c4,-5.951,7.0,649.0,-1.309,45.0,10000.0,9404.89,211.0,110.0,85.0,,16.0,10,2.5,1.0,48,12,0.25,15,2.5,30,70,7,30,240,50,0,0,,
2026-03-18T13:55:21,USDJPY,train,2,Bollinger Band Bounce,-11.798,https://www.quantconnect.com/project/28930245/0c0c5bc2d2239c77f49027e21bc6283c,-4.268,4.8,243.0,-1.56,42.0,10000.0,9573.15,81.0,47.0,34.0,,,20,1.5,1.0,30,5,0.25,25,2.5,30,75,14,5,240,50,1,0,,
2026-03-18T13:55:49,USDJPY,train,2,Bollinger Band Bounce,-18.75,https://www.quantconnect.com/project/28930245/6e026170d7e1baa61419091c50eae9c1,-11.489,12.2,900.0,-1.587,45.0,10000.0,8851.07,300.0,165.0,135.0,,,20,1.5,1.0,30,12,0.25,25,2.0,30,75,10,5,60,50,0,0,,
2026-03-18T13:56:16,USDJPY,train,2,Bollinger Band Bounce,-6.8100000000000005,https://www.quantconnect.com/project/28930245/80673a6cb3d8acb2501e45e9bb190031,-2.538,4.3,573.0,-1.424,46.0,10000.0,9746.23,191.0,103.0,88.0,,,20,1.5,1.0,60,12,0.15,20,2.0,30,60,14,15,60,50,1,0,,
2026-03-18T13:56:41,USDJPY,train,2,Bollinger Band Bounce,-20.351,https://www.quantconnect.com/project/28930245/01e79a3bf198c7a94a71c61702baf432,-1.664,1.7,59.0,-2.179,26.0,10000.0,9833.59,19.0,13.0,4.0,,2.0,20,2.5,1.5,30,5,0.25,15,2.5,30,75,10,30,60,20,1,0,,
2026-03-18T13:57:05,USDJPY,train,2,Bollinger Band Bounce,-9.808,https://www.quantconnect.com/project/28930245/a01e8e4228b8c4430e15d99b371bf047,-5.347,6.1,417.0,-1.487,43.0,10000.0,9465.34,138.0,79.0,56.0,,3.0,20,2.5,1.0,60,3,0.25,15,2.5,30,60,14,15,240,50,1,0,,
2026-03-18T13:57:36,USDJPY,train,2,Bollinger Band Bounce,-15.116,https://www.quantconnect.com/project/28930245/39299812c86314c208cebedac1c7e1d6,-10.004,10.2,505.0,-1.704,31.0,10000.0,8999.61,161.0,101.0,38.0,,22.0,20,2.5,1.5,30,3,0.25,15,2.5,25,75,10,5,240,30,1,0,,
2026-03-18T13:58:07,USDJPY,train,2,Bollinger Band Bounce,-17.447,https://www.quantconnect.com/project/28930245/9120781a7eaeeb73547251f121fb1949,0.307,1.2,24.0,-1.268,57.0,10000.0,10030.75,7.0,3.0,1.0,,3.0,20,3.0,1.5,20,5,0.5,30,1.5,25,75,14,30,60,50,0,0,,
2026-03-18T13:58:33,USDJPY,train,2,Bollinger Band Bounce,-3.063,https://www.quantconnect.com/project/28930245/2e8bcde1c95345649692bc68c10d2412,-1.473,6.0,400.0,-0.53,42.0,10000.0,9852.71,129.0,71.0,45.0,13.0,,10,1.5,1.5,48,3,0.35,25,2.5,25,65,10,15,60,30,1,1,,
2026-03-18T13:48:43,USDJPY,train,2,Bollinger Band Bounce,-1.7830000000000001,https://www.quantconnect.com/project/28930245/b1ef5c77dccc2aacbc21e9f20637da9d,-0.28,4.6,394.0,-0.501,38.0,10000.0,9972.04,128.0,77.0,41.0,,10.0,20,1.5,2.0,30,5,0.25,25,2.0,25,75,10,5,60,30,1,0,,
2026-03-18T13:58:33,USDJPY,train,2,Bollinger Band Bounce,-3.063,https://www.quantconnect.com/project/28930245/2e8bcde1c95345649692bc68c10d2412,-1.473,6.0,400.0,-0.53,42.0,10000.0,9852.71,129.0,71.0,45.0,13.0,,10,1.5,1.5,48,3,0.35,25,2.5,25,65,10,15,60,30,1,1,,
2026-03-18T13:40:46,USDJPY,train,2,Bollinger Band Bounce,-5.436,https://www.quantconnect.com/project/28930245/7b23142bc87e3691c6661ceb05f10dac,-2.502,5.0,364.0,-0.978,39.0,10000.0,9749.77,117.0,68.0,36.0,,13.0,20,2.5,1.5,48,3,0.25,15,2.5,35,70,7,30,240,20,1,0,,
2026-03-18T13:53:05,USDJPY,train,2,Bollinger Band Bounce,-5.515,https://www.quantconnect.com/project/28930245/278e27c901f83c06d1a42247a8b056ba,-1.231,2.4,369.0,-1.428,48.0,10000.0,9876.91,123.0,64.0,59.0,,,20,1.5,1.0,60,12,0.15,25,2.5,30,60,14,15,60,50,1,0,,
2026-03-18T13:56:16,USDJPY,train,2,Bollinger Band Bounce,-6.8100000000000005,https://www.quantconnect.com/project/28930245/80673a6cb3d8acb2501e45e9bb190031,-2.538,4.3,573.0,-1.424,46.0,10000.0,9746.23,191.0,103.0,88.0,,,20,1.5,1.0,60,12,0.15,20,2.0,30,60,14,15,60,50,1,0,,
2026-03-18T13:58:59,USDJPY,train,2,Bollinger Band Bounce,-9.394,https://www.quantconnect.com/project/28930245/ec0392e8f39c7d2a09abe7abef7623a1,-1.276,2.1,246.0,-1.806,45.0,10000.0,9872.38,82.0,45.0,37.0,,,20,1.5,1.0,48,12,0.15,15,2.0,30,60,14,30,60,50,1,0,,
2026-03-18T13:59:32,USDJPY,train,2,Bollinger Band Bounce,-20.527,https://www.quantconnect.com/project/28930245/a1c02b2d66e6ff977d896ea3f977fccc,-4.462,4.7,97.0,-1.905,23.0,10000.0,9553.85,31.0,22.0,5.0,4.0,,20,1.5,1.5,48,3,0.35,25,2.5,25,65,10,30,60,20,1,1,,
2026-03-18T13:59:57,USDJPY,train,2,Bollinger Band Bounce,-14.225999999999999,https://www.quantconnect.com/project/28930245/31b9c156f739d0e44da1bb540731d71a,-3.09,5.1,153.0,-1.262,29.0,10000.0,9690.96,51.0,36.0,15.0,,,20,1.5,2.0,60,12,0.25,20,2.0,25,75,14,5,60,50,1,0,,
2026-03-18T14:00:36,USDJPY,train,2,Bollinger Band Bounce,-6.628,https://www.quantconnect.com/project/28930245/d4cb77a3798c2198161c2b4e5b9b639f,-2.053,2.9,330.0,-1.275,42.0,10000.0,9794.7,95.0,36.0,14.0,45.0,,10,2.5,1.5,48,3,0.25,15,2.5,25,70,7,30,240,30,1,1,,
2026-03-18T14:01:00,USDJPY,train,2,Bollinger Band Bounce,-4.775,https://www.quantconnect.com/project/28930245/513b7aa4b7b3df2b25946326b1daa356,-1.142,2.9,340.0,-1.211,38.0,10000.0,9885.81,113.0,69.0,43.0,,1.0,10,1.5,1.5,60,12,0.15,25,2.5,30,65,14,15,60,50,1,0,,
2026-03-18T14:01:28,USDJPY,train,2,Bollinger Band Bounce,-12.424,https://www.quantconnect.com/project/28930245/ea2360f5c70ce01eaa211de5efca8366,-8.134,10.1,449.0,-1.43,27.0,10000.0,9186.63,147.0,104.0,35.0,,8.0,20,1.5,2.0,30,5,0.25,25,2.0,25,60,14,15,60,30,1,0,,
2026-03-18T14:01:56,USDJPY,train,2,Bollinger Band Bounce,-7.944000000000001,https://www.quantconnect.com/project/28930245/f57a0bed3db191cbd42ba593f372ff65,-1.467,2.8,245.0,-1.159,46.0,10000.0,9853.26,80.0,40.0,35.0,,5.0,20,2.5,1.0,48,3,0.25,20,2.5,35,70,14,30,240,50,1,0,,
2026-03-18T14:02:38,USDJPY,train,2,Bollinger Band Bounce,-5.244,https://www.quantconnect.com/project/28930245/e56a376a4c34dfb8edefd4f58dc658a5,-3.123,5.7,561.0,-0.707,37.0,10000.0,9687.68,181.0,112.0,51.0,2.0,16.0,10,1.5,2.0,30,3,0.25,25,2.0,25,75,10,5,60,30,1,1,,
2026-03-18T14:03:16,USDJPY,train,2,Bollinger Band Bounce,-10.434,https://www.quantconnect.com/project/28930245/8563081b1cf7708810e4b0cc12423bb0,-6.321,6.8,644.0,-1.371,44.0,10000.0,9367.95,210.0,112.0,84.0,,14.0,20,3.0,1.0,60,8,0.25,25,1.5,25,70,10,30,240,30,0,0,,
2026-03-18T14:03:43,USDJPY,train,2,Bollinger Band Bounce,-6.645000000000001,https://www.quantconnect.com/project/28930245/6c4a90e5c356907987c8b9c5e8b2cfc1,11.651,22.3,1242.0,0.218,40.0,10000.0,11165.14,410.0,248.0,150.0,,12.0,10,2.0,1.25,48,5,0.25,20,2.5,30,60,7,15,240,20,0,0,,
2026-03-18T13:48:43,USDJPY,train,2,Bollinger Band Bounce,-1.7830000000000001,https://www.quantconnect.com/project/28930245/b1ef5c77dccc2aacbc21e9f20637da9d,-0.28,4.6,394.0,-0.501,38.0,10000.0,9972.04,128.0,77.0,41.0,,10.0,20,1.5,2.0,30,5,0.25,25,2.0,25,75,10,5,60,30,1,0,,
2026-03-18T13:58:33,USDJPY,train,2,Bollinger Band Bounce,-3.063,https://www.quantconnect.com/project/28930245/2e8bcde1c95345649692bc68c10d2412,-1.473,6.0,400.0,-0.53,42.0,10000.0,9852.71,129.0,71.0,45.0,13.0,,10,1.5,1.5,48,3,0.35,25,2.5,25,65,10,15,60,30,1,1,,
2026-03-18T14:01:00,USDJPY,train,2,Bollinger Band Bounce,-4.775,https://www.quantconnect.com/project/28930245/513b7aa4b7b3df2b25946326b1daa356,-1.142,2.9,340.0,-1.211,38.0,10000.0,9885.81,113.0,69.0,43.0,,1.0,10,1.5,1.5,60,12,0.15,25,2.5,30,65,14,15,60,50,1,0,,
2026-03-18T14:02:38,USDJPY,train,2,Bollinger Band Bounce,-5.244,https://www.quantconnect.com/project/28930245/e56a376a4c34dfb8edefd4f58dc658a5,-3.123,5.7,561.0,-0.707,37.0,10000.0,9687.68,181.0,112.0,51.0,2.0,16.0,10,1.5,2.0,30,3,0.25,25,2.0,25,75,10,5,60,30,1,1,,
2026-03-18T13:40:46,USDJPY,train,2,Bollinger Band Bounce,-5.436,https://www.quantconnect.com/project/28930245/7b23142bc87e3691c6661ceb05f10dac,-2.502,5.0,364.0,-0.978,39.0,10000.0,9749.77,117.0,68.0,36.0,,13.0,20,2.5,1.5,48,3,0.25,15,2.5,35,70,7,30,240,20,1,0,,
2026-03-18T14:04:13,USDJPY,train,2,Bollinger Band Bounce,-4.551,https://www.quantconnect.com/project/28930245/7683cdfae7294bb4173c763c5ee33c36,-2.493,5.0,528.0,-0.686,38.0,10000.0,9750.73,170.0,104.0,48.0,,18.0,10,1.5,2.0,30,5,0.25,25,2.0,25,75,10,5,60,30,1,0,,
2026-03-18T14:04:41,USDJPY,train,2,Bollinger Band Bounce,-18.317,https://www.quantconnect.com/project/28930245/13d91827d1bd78bd35a87f0bee31829f,-12.398,13.3,498.0,-1.973,28.0,10000.0,8760.16,166.0,120.0,46.0,,,20,1.5,1.5,60,12,0.25,15,2.5,30,70,7,15,240,50,1,0,,
2026-03-18T14:05:20,USDJPY,train,2,Bollinger Band Bounce,-1.3779999999999997,https://www.quantconnect.com/project/28930245/e3c40c9b14ef87b352602baa62fd79bd,0.725,1.7,377.0,-0.701,45.0,10000.0,10072.52,125.0,69.0,54.0,1.0,1.0,10,1.5,1.5,30,3,0.15,25,2.5,25,75,10,5,60,50,1,1,,
2026-03-18T14:05:46,USDJPY,train,2,Bollinger Band Bounce,-1.5370000000000004,https://www.quantconnect.com/project/28930245/758898c85b0cbc56dae8350370cefcf2,0.122,4.0,367.0,-0.553,44.0,10000.0,10012.22,118.0,63.0,42.0,,13.0,20,2.5,1.5,48,3,0.25,25,2.5,25,70,10,15,60,30,1,0,,
2026-03-18T14:06:10,USDJPY,train,2,Bollinger Band Bounce,-7.452,https://www.quantconnect.com/project/28930245/0b93b7bfc575b579733f9646eb674527,-2.352,3.2,298.0,-1.65,34.0,10000.0,9764.79,99.0,65.0,33.0,,1.0,20,1.5,1.5,48,5,0.15,25,2.5,35,65,14,30,240,20,1,0,,
2026-03-18T14:07:00,USDJPY,train,2,Bollinger Band Bounce,-0.6860000000000002,https://www.quantconnect.com/project/28930245/bec4a9efb8289b0c2f25eafd929019d6,0.478,3.9,418.0,-0.388,39.0,10000.0,10047.81,136.0,81.0,45.0,1.0,9.0,20,1.5,2.0,30,3,0.25,25,2.0,25,75,10,5,60,30,1,1,,
2026-03-18T14:07:26,USDJPY,train,2,Bollinger Band Bounce,-65.519,https://www.quantconnect.com/project/28930245/a027e206f26a82a0abb7d69808789753,-27.571,32.6,1159.0,-1.766,28.0,10000.0,7242.92,375.0,262.0,79.0,31.0,3.0,10,1.5,2.0,30,3,0.35,25,2.0,25,65,10,15,60,30,0,1,,
2026-03-18T14:07:55,USDJPY,train,2,Bollinger Band Bounce,-3.2070000000000003,https://www.quantconnect.com/project/28930245/e5ce87ce637fad5a8f732f1004289551,0.981,2.7,255.0,-0.446,40.0,10000.0,10098.09,81.0,44.0,25.0,12.0,,10,1.5,2.0,48,3,0.25,25,2.5,25,75,10,15,60,30,1,1,,
2026-03-18T14:08:22,USDJPY,train,2,Bollinger Band Bounce,-28.766,https://www.quantconnect.com/project/28930245/cb1169f17c49c2bb01e2d46378dbca65,-16.942,18.5,860.0,-1.608,41.0,10000.0,8305.78,285.0,165.0,115.0,5.0,,10,1.5,1.0,96,5,0.35,15,2.5,30,60,10,15,60,50,0,1,,
2026-03-18T14:08:51,USDJPY,train,2,Bollinger Band Bounce,-14.031,https://www.quantconnect.com/project/28930245/2d4929a15296a5005dedf97259cc3805,-7.768,8.5,846.0,-1.721,30.0,10000.0,9223.23,272.0,181.0,61.0,30.0,,10,1.5,2.0,48,12,0.15,25,2.0,25,75,10,15,240,30,0,1,,
2026-03-18T14:07:00,USDJPY,train,2,Bollinger Band Bounce,-0.6860000000000002,https://www.quantconnect.com/project/28930245/bec4a9efb8289b0c2f25eafd929019d6,0.478,3.9,418.0,-0.388,39.0,10000.0,10047.81,136.0,81.0,45.0,1.0,9.0,20,1.5,2.0,30,3,0.25,25,2.0,25,75,10,5,60,30,1,1,,
